repeticoes,23,24-25,26-28,29-30,31-34,35-38,39-41,42-45,46-49,50+
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.6
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.9
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,3.1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.0,3.4
17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,3.3,3.7
18,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.9,3.5,4.0
19,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.1,3.8,4.4
20,0.0,0.0,0.0,0.0,0.0,2.0,2.7,3.4,4.0,4.9
21,0.0,0.0,0.0,0.0,2.0,2.2,2.9,3.7,4.3,5.3
22,0.0,0.0,0.0,0.0,2.2,2.4,3.1,4.0,4.7,5.7
23,0.0,0.0,0.0,0.0,2.4,2.6,3.3,4.4,5.0,6.1
24,0.0,0.0,0.0,0.0,2.5,2.8,3.6,4.8,5.3,6.6
25,0.0,0.0,0.0,2.0,2.7,3.0,3.8,5.1,5.7,7.0
26,0.0,0.0,0.0,2.2,2.9,3.2,4.0,5.5,6.0,7.4
27,0.0,0.0,2.0,2.4,3.1,3.4,4.2,5.9,6.3,7.8
28,0.0,0.0,2.2,2.6,3.3,3.6,4.5,6.3,6.7,8.2
29,0.0,2.0,2.4,2.8,3.5,3.8,4.7,6.6,7.0,8.6
30,2.0,2.2,2.6,3.0,3.6,4.0,4.9,7.0,7.2,9.0
31,2.2,2.4,2.8,3.2,3.8,4.3,5.2,7.2,7.4,9.5
32,2.4,2.6,3.0,3.4,4.0,4.6,5.4,7.3,7.5,10.0
33,2.6,2.8,3.2,3.6,4.3,4.9,5.6,7.5,7.7,10.0
34,2.8,3.0,3.4,3.8,4.6,5.2,5.8,7.7,7.9,10.0
35,3.0,3.2,3.6,4.0,4.9,5.5,6.1,7.8,8.1,10.0
36,3.2,3.4,3.8,4.3,5.2,5.8,6.3,8.0,8.3,10.0
37,3.4,3.6,4.0,4.6,5.5,6.1,6.5,8.2,8.5,10.0
38,3.6,3.8,4.3,4.9,5.8,6.4,6.8,8.3,8.6,10.0
39,3.8,4.0,4.6,5.2,6.1,6.7,7.0,8.5,8.8,10.0
40,4.0,4.3,4.9,5.5,6.4,7.0,7.3,8.7,9.0,10.0
41,4.3,4.7,5.2,5.8,6.7,7.2,7.6,8.8,9.5,10.0
42,4.6,5.0,5.5,6.1,7.0,7.4,7.9,9.0,10.0,10.0
43,4.9,5.3,5.8,6.4,7.3,7.7,8.1,9.5,10.0,10.0
44,5.2,5.7,6.1,6.7,7.5,7.9,8.4,10.0,10.0,10.0
45,5.5,6.0,6.4,7.0,7.8,8.1,8.7,10.0,10.0,10.0
46,5.8,6.3,6.7,7.3,8.0,8.3,9.0,10.0,10.0,10.0
47,6.1,6.7,7.0,7.5,8.3,8.6,9.3,10.0,10.0,10.0
48,6.4,7.0,7.3,7.8,8.5,8.8,9.7,10.0,10.0,10.0
49,6.7,7.3,7.5,8.0,8.8,9.0,10.0,10.0,10.0,10.0
50,7.0,7.5,7.8,8.3,9.0,9.3,10.0,10.0,10.0,10.0
51,7.3,7.8,8.0,8.5,9.3,9.7,10.0,10.0,10.0,10.0
52,7.5,8.0,8.3,8.8,9.7,10.0,10.0,10.0,10.0,10.0
53,7.8,8.3,8.5,9.0,10.0,10.0,10.0,10.0,10.0,10.0
54,8.0,8.5,8.8,9.3,10.0,10.0,10.0,10.0,10.0,10.0
55,8.3,8.8,9.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0
56,8.5,9.0,9.3,9.8,10.0,10.0,10.0,10.0,10.0,10.0
57,8.8,9.3,9.7,10.0,10.0,10.0,10.0,10.0,10.0,10.0
58,9.0,9.7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
59,9.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
60,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
61,9.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
62,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
