tempo_hhmmss,19,20-29,30-39,40-49,45+
00:53:41,0.0,0.0,0.0,0.0,0.0
00:53:26,0.0,0.0,0.0,0.0,0.0
00:53:11,0.0,0.0,0.0,0.0,0.0
00:52:56,0.0,0.0,0.0,0.0,0.0
00:52:42,0.0,0.0,0.0,0.0,0.0
00:52:28,0.0,0.0,0.0,0.0,0.0
00:52:13,0.0,0.0,0.0,0.0,0.0
00:52:00,0.0,0.0,0.0,0.0,10.0
00:51:51,0.0,0.0,0.0,0.0,10.6
00:51:37,0.0,0.0,0.0,0.0,11.2
00:51:23,0.0,0.0,0.0,0.0,11.8
00:51:09,0.0,0.0,0.0,0.0,12.4
00:50:56,0.0,0.0,0.0,0.0,12.9
00:50:42,0.0,0.0,0.0,0.0,13.5
00:50:29,0.0,0.0,0.0,0.0,14.1
00:50:16,0.0,0.0,0.0,0.0,14.7
00:50:03,0.0,0.0,0.0,0.0,15.3
00:49:50,0.0,0.0,0.0,0.0,15.9
00:49:37,0.0,0.0,0.0,0.0,16.5
00:49:24,0.0,0.0,0.0,0.0,17.1
00:49:11,0.0,0.0,0.0,0.0,17.6
00:49:00,0.0,0.0,0.0,10.0,18.2
00:48:51,0.0,0.0,0.0,10.5,18.8
00:48:39,0.0,0.0,0.0,11.0,19.4
00:48:27,0.0,0.0,0.0,11.5,20.0
00:48:14,0.0,0.0,0.0,12.0,20.8
00:48:02,0.0,0.0,0.0,12.5,21.7
00:47:50,0.0,0.0,0.0,13.0,22.5
00:47:39,0.0,0.0,0.0,13.5,23.3
00:47:27,0.0,0.0,0.0,14.0,24.2
00:47:15,0.0,0.0,0.0,14.5,25.0
00:47:04,0.0,0.0,0.0,15.0,25.8
00:46:52,0.0,0.0,0.0,15.5,26.7
00:46:41,0.0,0.0,0.0,16.0,27.5
00:46:30,0.0,0.0,10.0,16.5,28.3
00:46:18,0.0,0.0,10.5,17.0,29.2
00:46:07,0.0,0.0,11.1,17.5,30.0
00:45:56,0.0,0.0,11.6,18.0,30.8
00:45:45,0.0,0.0,12.1,18.5,31.7
00:45:34,0.0,0.0,12.6,19.0,32.5
00:45:23,0.0,0.0,13.2,19.5,33.3
00:45:13,0.0,0.0,13.7,20.0,34.2
00:45:02,0.0,0.0,14.2,20.8,35.0
00:44:52,0.0,0.0,14.7,21.5,35.6
00:44:41,0.0,0.0,15.3,22.3,36.1
00:44:31,0.0,0.0,15.8,23.0,36.7
00:44:21,0.0,0.0,16.3,23.8,37.2
00:44:10,0.0,0.0,16.8,24.5,37.8
00:44:00,0.0,10.0,17.4,25.3,38.3
00:43:48,0.0,10.5,17.9,26.0,38.9
00:43:38,0.0,11.1,18.4,26.8,39.4
00:43:28,0.0,11.6,18.9,27.5,40.0
00:43:18,0.0,12.1,19.5,28.3,40.6
00:43:09,0.0,12.6,20.0,29.0,41.1
00:43:00,10.0,13.2,20.8,29.8,41.7
00:42:48,10.5,13.7,21.5,30.5,42.2
00:42:38,11.0,14.2,22.3,31.3,42.8
00:42:29,11.5,14.7,23.0,32.0,43.3
00:42:19,12.0,15.3,23.8,32.8,43.9
00:42:10,12.5,15.8,24.5,33.5,44.4
00:42:00,13.0,16.3,25.3,34.3,45.0
00:41:52,13.5,16.8,26.0,35.0,46.7
00:41:43,14.0,17.4,26.8,35.5,48.3
00:41:34,14.5,17.9,27.5,36.0,50.0
00:41:25,15.0,18.4,28.3,36.5,50.0
00:41:16,15.5,18.9,29.0,37.0,50.0
00:41:07,16.0,19.5,29.8,37.5,50.0
00:40:58,16.5,20.0,30.5,38.0,50.0
00:40:49,17.0,20.8,31.3,38.5,50.0
00:40:41,17.5,21.6,32.0,39.0,50.0
00:40:32,18.0,22.4,32.8,39.5,50.0
00:40:24,18.5,23.2,33.5,40.0,50.0
00:40:15,19.0,23.9,34.3,40.5,50.0
00:40:07,19.5,24.7,35.0,41.0,50.0
00:39:58,20.0,25.5,35.5,41.5,50.0
00:39:50,20.8,26.3,36.0,42.0,50.0
00:39:42,21.5,27.1,36.5,42.5,50.0
00:39:34,22.3,27.9,37.0,43.0,50.0
00:39:26,23.0,28.7,37.5,43.5,50.0
00:39:17,23.8,29.5,38.0,44.0,50.0
00:39:09,24.5,30.3,38.5,44.5,50.0
00:39:00,25.3,31.1,39.0,45.0,50.0
00:38:55,26.0,31.8,39.5,46.7,50.0
00:38:47,26.8,32.6,40.0,48.3,50.0
00:38:39,27.5,33.4,40.5,50.0,50.0
00:38:32,28.3,34.2,41.0,50.0,50.0
00:38:24,29.0,35.0,41.5,50.0,50.0
00:38:16,29.8,35.5,42.0,50.0,50.0
00:38:09,30.5,36.0,42.5,50.0,50.0
00:38:01,31.3,36.5,43.0,50.0,50.0
00:37:54,32.0,37.0,43.5,50.0,50.0
00:37:46,32.8,37.5,44.0,50.0,50.0
00:37:39,33.5,38.0,44.5,50.0,50.0
00:37:30,34.3,38.5,45.0,50.0,50.0
00:37:24,35.0,39.0,46.7,50.0,50.0
00:37:17,35.5,39.5,48.3,50.0,50.0
00:37:10,36.0,40.0,50.0,50.0,50.0
00:37:03,36.4,40.5,50.0,50.0,50.0
00:36:55,36.9,41.0,50.0,50.0,50.0
00:36:48,37.4,41.5,50.0,50.0,50.0
00:36:41,37.9,42.0,50.0,50.0,50.0
00:36:34,38.3,42.5,50.0,50.0,50.0
00:36:27,38.8,43.0,50.0,50.0,50.0
00:36:20,39.3,43.5,50.0,50.0,50.0
00:36:14,39.8,44.0,50.0,50.0,50.0
00:36:07,40.2,44.5,50.0,50.0,50.0
00:36:00,40.7,45.0,50.0,50.0,50.0
00:35:53,41.2,46.7,50.0,50.0,50.0
00:35:47,41.7,48.3,50.0,50.0,50.0
00:35:40,42.1,50.0,50.0,50.0,50.0
00:35:33,42.6,50.0,50.0,50.0,50.0
00:35:27,43.1,50.0,50.0,50.0,50.0
00:35:20,43.6,50.0,50.0,50.0,50.0
00:35:14,44.0,50.0,50.0,50.0,50.0
00:35:07,44.5,50.0,50.0,50.0,50.0
00:35:00,45.0,50.0,50.0,50.0,50.0
00:34:55,46.7,50.0,50.0,50.0,50.0
00:34:48,48.3,50.0,50.0,50.0,50.0
00:34:42,50.0,50.0,50.0,50.0,50.0
